,Messstelle,Gewässer,Datum Zeit,Wasser­stand [cm],Änderung seit 2 Std. [cm],Abfluss [m³/s],Melde­stufe,Jähr­lichkeit,Vorher­sage
2,Bad Tölz Brücke,Isar,2021-07-08 08:00:00,85,-1,---,0,---,
3,Puppling,Isar,2021-07-08 08:00:00,164,0,695,0,---,
4,München,Isar,2021-07-08 08:00:00,167,-3,148,0,---,
5,Freising,Isar,2021-07-08 08:00:00,77,-5,513,0,---,
6,Landshut Birket,Isar,2021-07-08 08:00:00,171,5,273,0,---,
7,Landau,Isar,2021-07-08 08:00:00,162,-1,320,0,---,
8,Plattling,Isar,2021-07-08 08:00:00,253,-1,297,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-08 08:00:00,107,-2,107,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-08 08:00:00,180,1,400,0,---,
11,Schlehdorf,Loisach,2021-07-08 08:00:00,133,-2,365,0,---,
12,Kochel,Loisach,2021-07-08 08:00:00,122,-1,682,0,---,
13,Beuerberg,Loisach,2021-07-08 08:00:00,350,-3,703,0,---,
14,Partenkirchen (alt),Partnach,2021-07-08 08:00:00,63,-1,681,0,---,
15,Stegen,Ammersee,2021-07-08 08:00:00,53324,-2,---,0,---,
16,Stegen,Amper,2021-07-08 08:00:00,151,0,366,0,---,
17,Fürstenfeldbruck,Amper,2021-07-08 08:00:00,104,0,394,0,---,
18,Ampermoching,Amper,2021-07-08 08:00:00,232,0,564,0,---,
19,Inkofen,Amper,2021-07-08 08:00:00,138,-1,681,0,---,
20,Oberammergau,Ammer,2021-07-08 08:00:00,56,-1,550,0,---,
21,Peißenberg,Ammer,2021-07-08 08:00:00,78,0,115,0,---,
22,Weilheim,Ammer,2021-07-08 08:00:00,72,0,202,0,---,
23,Raisting,Rott,2021-07-08 08:00:00,48,-1,078,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-08 08:00:00,62507,1,---,0,---,
25,Leutstetten,Würm,2021-07-08 08:00:00,149,0,689,0,---,
26,Hohenkammer,Glonn,2021-07-08 08:00:00,48,-1,326,0,---,
27,Berg,Sempt,2021-07-08 08:00:00,68,0,394,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-08 08:00:00,151,0,244,0,---,
29,Starnberg,Starnberger See,2021-07-08 08:00:00,58453,0,---,0,---,
30,Eching,Windach,2021-07-08 08:00:00,79,-3,144,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-08 08:00:00,25,0,044,0,---,
0,Sylvenstein,Isar,2021-07-08 09:00:00,277,1,399,0,---,
1,Lenggries,Isar,2021-07-08 09:00:00,144,0,462,0,---,
2,Bad Tölz Brücke,Isar,2021-07-08 09:00:00,85,0,---,0,---,
3,Puppling,Isar,2021-07-08 09:00:00,164,0,695,0,---,
4,München,Isar,2021-07-08 09:00:00,167,1,148,0,---,
5,Freising,Isar,2021-07-08 09:00:00,73,-6,474,0,---,
6,Landshut Birket,Isar,2021-07-08 09:00:00,170,5,271,0,---,
7,Landau,Isar,2021-07-08 09:00:00,161,-2,317,0,---,
8,Plattling,Isar,2021-07-08 09:00:00,253,-1,297,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-08 09:00:00,107,-1,107,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-08 09:00:00,179,0,394,0,---,
11,Schlehdorf,Loisach,2021-07-08 09:00:00,133,-1,365,0,---,
12,Kochel,Loisach,2021-07-08 09:00:00,122,-1,682,0,---,
13,Beuerberg,Loisach,2021-07-08 09:00:00,349,-2,693,0,---,
14,Partenkirchen (alt),Partnach,2021-07-08 09:00:00,63,-1,681,0,---,
15,Stegen,Ammersee,2021-07-08 09:00:00,53325,-1,---,0,---,
16,Stegen,Amper,2021-07-08 09:00:00,151,0,366,0,---,
17,Fürstenfeldbruck,Amper,2021-07-08 09:00:00,104,1,394,0,---,
18,Ampermoching,Amper,2021-07-08 09:00:00,231,-1,559,0,---,
19,Inkofen,Amper,2021-07-08 09:00:00,137,-1,675,0,---,
20,Oberammergau,Ammer,2021-07-08 09:00:00,56,0,550,0,---,
21,Peißenberg,Ammer,2021-07-08 09:00:00,77,-1,110,0,---,
22,Weilheim,Ammer,2021-07-08 09:00:00,72,-1,202,0,---,
23,Raisting,Rott,2021-07-08 09:00:00,48,-1,078,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-08 09:00:00,62507,0,---,0,---,
25,Leutstetten,Würm,2021-07-08 09:00:00,149,0,689,0,---,
26,Hohenkammer,Glonn,2021-07-08 09:00:00,48,0,326,0,---,
27,Berg,Sempt,2021-07-08 09:00:00,68,0,394,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-08 09:00:00,149,-2,233,0,---,
29,Starnberg,Starnberger See,2021-07-08 09:00:00,58453,0,---,0,---,
30,Eching,Windach,2021-07-08 09:00:00,80,-1,152,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-08 09:00:00,25,0,044,0,---,
0,Sylvenstein,Isar,2021-07-08 10:00:00,276,0,388,0,---,
1,Lenggries,Isar,2021-07-08 10:00:00,144,0,462,0,---,
2,Bad Tölz Brücke,Isar,2021-07-08 10:00:00,85,0,---,0,---,
3,Puppling,Isar,2021-07-08 10:00:00,164,0,695,0,---,
4,München,Isar,2021-07-08 10:00:00,166,-1,146,0,---,
5,Freising,Isar,2021-07-08 10:00:00,73,-4,474,0,---,
6,Landshut Birket,Isar,2021-07-08 10:00:00,168,-3,266,0,---,
