,Messstelle,Gewässer,Datum Zeit,Wasser­stand [cm],Änderung seit 2 Std. [cm],Abfluss [m³/s],Melde­stufe,Jähr­lichkeit,Vorher­sage
12,Kochel,Loisach,2021-07-19 16:00:00,295,0,166,1,---,
13,Beuerberg,Loisach,2021-07-19 16:00:00,457,1,184,1,---,
14,Partenkirchen (alt),Partnach,2021-07-19 16:00:00,112,-1,250,0,---,
15,Stegen,Ammersee,2021-07-19 16:00:00,53328,0,---,0,---,
16,Stegen,Amper,2021-07-19 16:00:00,155,0,384,0,---,
17,Fürstenfeldbruck,Amper,2021-07-19 16:00:00,105,0,399,0,---,
18,Ampermoching,Amper,2021-07-19 16:00:00,229,0,548,0,---,
19,Inkofen,Amper,2021-07-19 16:00:00,124,2,608,0,---,
20,Oberammergau,Ammer,2021-07-19 16:00:00,90,-3,162,0,---,
21,Peißenberg,Ammer,2021-07-19 16:00:00,107,-3,303,0,---,
22,Weilheim,Ammer,2021-07-19 16:00:00,102,-3,355,0,---,
23,Raisting,Rott,2021-07-19 16:00:00,59,-2,151,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-19 16:00:00,62508,-6,---,0,---,
25,Leutstetten,Würm,2021-07-19 16:00:00,142,0,600,0,---,
26,Hohenkammer,Glonn,2021-07-19 16:00:00,42,0,238,0,---,
27,Berg,Sempt,2021-07-19 16:00:00,62,1,293,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-19 16:00:00,204,-6,648,0,---,
29,Starnberg,Starnberger See,2021-07-19 16:00:00,58448,0,---,0,---,
30,Eching,Windach,2021-07-19 16:00:00,126,-1,626,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-19 16:00:00,54,-21,217,0,---,
0,Sylvenstein,Isar,2021-07-19 17:00:00,380,4,209,1,---,
1,Lenggries,Isar,2021-07-19 17:00:00,270,-2,235,1,---,
2,Bad Tölz Brücke,Isar,2021-07-19 17:00:00,187,0,---,0,---,
3,Puppling,Isar,2021-07-19 17:00:00,287,-3,263,1,---,
4,München,Isar,2021-07-19 17:00:00,301,-6,396,2,---,
5,Freising,Isar,2021-07-19 17:00:00,236,6,298,1,---,
6,Landshut Birket,Isar,2021-07-19 17:00:00,244,3,456,1,---,
7,Landau,Isar,2021-07-19 17:00:00,181,-26,366,0,---,
8,Plattling,Isar,2021-07-19 17:00:00,284,-10,380,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-19 17:00:00,148,-2,295,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-19 17:00:00,203,-2,552,0,---,
11,Schlehdorf,Loisach,2021-07-19 17:00:00,298,-15,152,2,---,
12,Kochel,Loisach,2021-07-19 17:00:00,295,0,166,1,---,
13,Beuerberg,Loisach,2021-07-19 17:00:00,457,0,184,1,---,
14,Partenkirchen (alt),Partnach,2021-07-19 17:00:00,112,-1,250,0,---,
15,Stegen,Ammersee,2021-07-19 17:00:00,53329,0,---,0,---,
16,Stegen,Amper,2021-07-19 17:00:00,155,0,384,0,---,
17,Fürstenfeldbruck,Amper,2021-07-19 17:00:00,106,1,404,0,---,
18,Ampermoching,Amper,2021-07-19 17:00:00,228,-2,542,0,---,
19,Inkofen,Amper,2021-07-19 17:00:00,123,-1,602,0,---,
20,Oberammergau,Ammer,2021-07-19 17:00:00,89,-3,159,0,---,
21,Peißenberg,Ammer,2021-07-19 17:00:00,105,-4,288,0,---,
22,Weilheim,Ammer,2021-07-19 17:00:00,101,-2,350,0,---,
23,Raisting,Rott,2021-07-19 17:00:00,59,-1,151,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-19 17:00:00,62508,-3,---,0,---,
25,Leutstetten,Würm,2021-07-19 17:00:00,142,0,600,0,---,
26,Hohenkammer,Glonn,2021-07-19 17:00:00,42,0,238,0,---,
27,Berg,Sempt,2021-07-19 17:00:00,62,0,293,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-19 17:00:00,202,-4,629,0,---,
29,Starnberg,Starnberger See,2021-07-19 17:00:00,58449,1,---,0,---,
30,Eching,Windach,2021-07-19 17:00:00,125,-2,613,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-19 17:00:00,52,-13,203,0,---,
0,Sylvenstein,Isar,2021-07-19 18:00:00,378,1,205,0,---,
1,Lenggries,Isar,2021-07-19 18:00:00,269,-1,233,1,---,
2,Bad Tölz Brücke,Isar,2021-07-19 18:00:00,187,-1,---,0,---,
3,Puppling,Isar,2021-07-19 18:00:00,286,-2,261,1,---,
4,München,Isar,2021-07-19 18:00:00,306,3,407,2,---,
5,Freising,Isar,2021-07-19 18:00:00,231,0,289,1,---,
6,Landshut Birket,Isar,2021-07-19 18:00:00,247,4,464,1,---,
7,Landau,Isar,2021-07-19 18:00:00,185,-5,376,0,---,
8,Plattling,Isar,2021-07-19 18:00:00,278,-17,361,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-19 18:00:00,147,-2,290,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-19 18:00:00,202,-2,545,0,---,
11,Schlehdorf,Loisach,2021-07-19 18:00:00,290,-13,146,2,---,
12,Kochel,Loisach,2021-07-19 18:00:00,295,0,166,1,---,
13,Beuerberg,Loisach,2021-07-19 18:00:00,457,0,184,1,---,
14,Partenkirchen (alt),Partnach,2021-07-19 18:00:00,112,0,250,0,---,
15,Stegen,Ammersee,2021-07-19 18:00:00,53330,2,---,0,---,
16,Stegen,Amper,2021-07-19 18:00:00,155,0,384,0,---,
17,Fürstenfeldbruck,Amper,2021-07-19 18:00:00,105,0,399,0,---,
18,Ampermoching,Amper,2021-07-19 18:00:00,228,-1,542,0,---,
19,Inkofen,Amper,2021-07-19 18:00:00,124,0,608,0,---,
20,Oberammergau,Ammer,2021-07-19 18:00:00,87,-3,152,0,---,
21,Peißenberg,Ammer,2021-07-19 18:00:00,104,-3,281,0,---,
22,Weilheim,Ammer,2021-07-19 18:00:00,99,-3,338,0,---,
23,Raisting,Rott,2021-07-19 18:00:00,58,-1,144,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-19 18:00:00,62507,-1,---,0,---,
25,Leutstetten,Würm,2021-07-19 18:00:00,142,0,600,0,---,
26,Hohenkammer,Glonn,2021-07-19 18:00:00,42,0,238,0,---,
27,Berg,Sempt,2021-07-19 18:00:00,62,0,293,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-19 18:00:00,197,-7,583,0,---,
29,Starnberg,Starnberger See,2021-07-19 18:00:00,58448,0,---,0,---,
30,Eching,Windach,2021-07-19 18:00:00,125,-1,613,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-19 18:00:00,48,-6,174,0,---,
0,Sylvenstein,Isar,2021-07-19 19:00:00,378,-2,205,0,---,
1,Lenggries,Isar,2021-07-19 19:00:00,269,-1,233,1,---,
2,Bad Tölz Brücke,Isar,2021-07-19 19:00:00,186,-1,---,0,---,
3,Puppling,Isar,2021-07-19 19:00:00,285,-2,259,1,---,
4,München,Isar,2021-07-19 19:00:00,307,6,409,2,---,
5,Freising,Isar,2021-07-19 19:00:00,230,-6,288,1,---,
6,Landshut Birket,Isar,2021-07-19 19:00:00,250,6,472,1,---,
7,Landau,Isar,2021-07-19 19:00:00,188,7,383,0,---,
8,Plattling,Isar,2021-07-19 19:00:00,278,-6,361,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-19 19:00:00,145,-3,279,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-19 19:00:00,202,-1,545,0,---,
11,Schlehdorf,Loisach,2021-07-19 19:00:00,283,-15,140,1,---,
12,Kochel,Loisach,2021-07-19 19:00:00,294,-1,166,1,---,
13,Beuerberg,Loisach,2021-07-19 19:00:00,457,0,184,1,---,
14,Partenkirchen (alt),Partnach,2021-07-19 19:00:00,111,-1,245,0,---,
15,Stegen,Ammersee,2021-07-19 19:00:00,53329,0,---,0,---,
16,Stegen,Amper,2021-07-19 19:00:00,155,0,384,0,---,
17,Fürstenfeldbruck,Amper,2021-07-19 19:00:00,106,0,404,0,---,
18,Ampermoching,Amper,2021-07-19 19:00:00,229,1,548,0,---,
19,Inkofen,Amper,2021-07-19 19:00:00,124,1,608,0,---,
20,Oberammergau,Ammer,2021-07-19 19:00:00,86,-3,149,0,---,
21,Peißenberg,Ammer,2021-07-19 19:00:00,103,-2,273,0,---,
22,Weilheim,Ammer,2021-07-19 19:00:00,97,-4,327,0,---,
23,Raisting,Rott,2021-07-19 19:00:00,57,-2,136,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-19 19:00:00,62507,-1,---,0,---,
25,Leutstetten,Würm,2021-07-19 19:00:00,142,0,600,0,---,
26,Hohenkammer,Glonn,2021-07-19 19:00:00,41,-1,228,0,---,
27,Berg,Sempt,2021-07-19 19:00:00,62,0,293,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-19 19:00:00,195,-7,564,0,---,
29,Starnberg,Starnberger See,2021-07-19 19:00:00,58449,0,---,0,---,
30,Eching,Windach,2021-07-19 19:00:00,124,-1,601,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-19 19:00:00,48,-4,174,0,---,
0,Sylvenstein,Isar,2021-07-19 20:00:00,380,2,209,1,---,
1,Lenggries,Isar,2021-07-19 20:00:00,268,-1,231,1,---,
2,Bad Tölz Brücke,Isar,2021-07-19 20:00:00,186,-1,---,0,---,
3,Puppling,Isar,2021-07-19 20:00:00,285,-1,259,1,---,
4,München,Isar,2021-07-19 20:00:00,303,-3,400,2,---,
5,Freising,Isar,2021-07-19 20:00:00,231,0,289,1,---,
6,Landshut Birket,Isar,2021-07-19 20:00:00,252,5,477,1,---,
7,Landau,Isar,2021-07-19 20:00:00,193,8,395,0,---,
8,Plattling,Isar,2021-07-19 20:00:00,281,3,371,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-19 20:00:00,146,-1,285,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-19 20:00:00,200,-2,531,0,---,
11,Schlehdorf,Loisach,2021-07-19 20:00:00,276,-14,135,0,---,
12,Kochel,Loisach,2021-07-19 20:00:00,293,-2,165,1,---,
13,Beuerberg,Loisach,2021-07-19 20:00:00,457,0,184,1,---,
14,Partenkirchen (alt),Partnach,2021-07-19 20:00:00,111,-1,245,0,---,
15,Stegen,Ammersee,2021-07-19 20:00:00,53330,0,---,0,---,
16,Stegen,Amper,2021-07-19 20:00:00,155,0,384,0,---,
17,Fürstenfeldbruck,Amper,2021-07-19 20:00:00,105,0,399,0,---,
18,Ampermoching,Amper,2021-07-19 20:00:00,229,1,548,0,---,
19,Inkofen,Amper,2021-07-19 20:00:00,125,1,614,0,---,
20,Oberammergau,Ammer,2021-07-19 20:00:00,85,-2,145,0,---,
21,Peißenberg,Ammer,2021-07-19 20:00:00,101,-3,259,0,---,
22,Weilheim,Ammer,2021-07-19 20:00:00,96,-3,322,0,---,
23,Raisting,Rott,2021-07-19 20:00:00,56,-2,130,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-19 20:00:00,62507,0,---,0,---,
25,Leutstetten,Würm,2021-07-19 20:00:00,142,0,600,0,---,
26,Hohenkammer,Glonn,2021-07-19 20:00:00,42,0,238,0,---,
27,Berg,Sempt,2021-07-19 20:00:00,61,-1,284,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-19 20:00:00,192,-5,538,0,---,
29,Starnberg,Starnberger See,2021-07-19 20:00:00,58449,1,---,0,---,
30,Eching,Windach,2021-07-19 20:00:00,119,-6,539,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-19 20:00:00,48,0,174,0,---,
0,Sylvenstein,Isar,2021-07-19 21:00:00,380,2,209,1,---,
1,Lenggries,Isar,2021-07-19 21:00:00,270,1,235,1,---,
2,Bad Tölz Brücke,Isar,2021-07-19 21:00:00,186,0,---,0,---,
3,Puppling,Isar,2021-07-19 21:00:00,286,1,261,1,---,
4,München,Isar,2021-07-19 21:00:00,305,-2,405,2,---,
5,Freising,Isar,2021-07-19 21:00:00,233,3,293,1,---,
6,Landshut Birket,Isar,2021-07-19 21:00:00,254,4,482,1,---,
7,Landau,Isar,2021-07-19 21:00:00,199,11,409,0,---,
8,Plattling,Isar,2021-07-19 21:00:00,286,8,387,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-19 21:00:00,144,-1,274,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-19 21:00:00,200,-2,531,0,---,
11,Schlehdorf,Loisach,2021-07-19 21:00:00,271,-12,131,0,---,
12,Kochel,Loisach,2021-07-19 21:00:00,292,-2,165,1,---,
13,Beuerberg,Loisach,2021-07-19 21:00:00,457,0,184,1,---,
14,Partenkirchen (alt),Partnach,2021-07-19 21:00:00,111,0,245,0,---,
15,Stegen,Ammersee,2021-07-19 21:00:00,53329,0,---,0,---,
16,Stegen,Amper,2021-07-19 21:00:00,155,0,384,0,---,
17,Fürstenfeldbruck,Amper,2021-07-19 21:00:00,106,0,404,0,---,
18,Ampermoching,Amper,2021-07-19 21:00:00,229,0,548,0,---,
19,Inkofen,Amper,2021-07-19 21:00:00,127,3,625,0,---,
20,Oberammergau,Ammer,2021-07-19 21:00:00,84,-2,142,0,---,
21,Peißenberg,Ammer,2021-07-19 21:00:00,101,-2,259,0,---,
22,Weilheim,Ammer,2021-07-19 21:00:00,91,-6,294,0,---,
23,Raisting,Rott,2021-07-19 21:00:00,55,-2,123,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-19 21:00:00,62507,0,---,0,---,
25,Leutstetten,Würm,2021-07-19 21:00:00,142,0,600,0,---,
26,Hohenkammer,Glonn,2021-07-19 21:00:00,41,0,228,0,---,
27,Berg,Sempt,2021-07-19 21:00:00,61,-1,284,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-19 21:00:00,191,-4,529,0,---,
29,Starnberg,Starnberger See,2021-07-19 21:00:00,58448,-1,---,0,---,
30,Eching,Windach,2021-07-19 21:00:00,113,-11,469,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-19 21:00:00,44,-4,148,0,---,
0,Sylvenstein,Isar,2021-07-19 22:00:00,377,-3,203,0,---,
1,Lenggries,Isar,2021-07-19 22:00:00,270,2,235,1,---,
2,Bad Tölz Brücke,Isar,2021-07-19 22:00:00,186,0,---,0,---,
3,Puppling,Isar,2021-07-19 22:00:00,283,-2,255,1,---,
4,München,Isar,2021-07-19 22:00:00,304,1,402,2,---,
5,Freising,Isar,2021-07-19 22:00:00,234,3,295,1,---,
6,Landshut Birket,Isar,2021-07-19 22:00:00,255,3,485,1,---,
7,Landau,Isar,2021-07-19 22:00:00,203,10,419,0,---,
8,Plattling,Isar,2021-07-19 22:00:00,289,8,398,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-19 22:00:00,144,-2,274,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-19 22:00:00,198,-2,518,0,---,
11,Schlehdorf,Loisach,2021-07-19 22:00:00,265,-11,127,0,---,
12,Kochel,Loisach,2021-07-19 22:00:00,291,-2,164,1,---,
13,Beuerberg,Loisach,2021-07-19 22:00:00,457,0,184,1,---,
14,Partenkirchen (alt),Partnach,2021-07-19 22:00:00,111,0,245,0,---,
15,Stegen,Ammersee,2021-07-19 22:00:00,53329,-1,---,0,---,
16,Stegen,Amper,2021-07-19 22:00:00,155,0,384,0,---,
17,Fürstenfeldbruck,Amper,2021-07-19 22:00:00,105,0,399,0,---,
18,Ampermoching,Amper,2021-07-19 22:00:00,229,0,548,0,---,
19,Inkofen,Amper,2021-07-19 22:00:00,128,3,631,0,---,
20,Oberammergau,Ammer,2021-07-19 22:00:00,83,-2,138,0,---,
21,Peißenberg,Ammer,2021-07-19 22:00:00,100,-1,252,0,---,
22,Weilheim,Ammer,2021-07-19 22:00:00,89,-7,284,0,---,
23,Raisting,Rott,2021-07-19 22:00:00,55,-1,123,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-19 22:00:00,62507,0,---,0,---,
25,Leutstetten,Würm,2021-07-19 22:00:00,142,0,600,0,---,
26,Hohenkammer,Glonn,2021-07-19 22:00:00,42,0,238,0,---,
27,Berg,Sempt,2021-07-19 22:00:00,61,0,284,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-19 22:00:00,191,-1,529,0,---,
29,Starnberg,Starnberger See,2021-07-19 22:00:00,58449,0,---,0,---,
30,Eching,Windach,2021-07-19 22:00:00,108,-11,413,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-19 22:00:00,44,-4,148,0,---,
0,Sylvenstein,Isar,2021-07-19 23:00:00,380,0,209,1,---,
1,Lenggries,Isar,2021-07-19 23:00:00,270,0,235,1,---,
2,Bad Tölz Brücke,Isar,2021-07-19 23:00:00,186,0,---,0,---,
3,Puppling,Isar,2021-07-19 23:00:00,283,-3,255,1,---,
4,München,Isar,2021-07-19 23:00:00,301,-4,396,2,---,
5,Freising,Isar,2021-07-19 23:00:00,232,-1,291,1,---,
6,Landshut Birket,Isar,2021-07-19 23:00:00,258,4,492,1,---,
7,Landau,Isar,2021-07-19 23:00:00,211,12,437,0,---,
8,Plattling,Isar,2021-07-19 23:00:00,296,10,428,1,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-19 23:00:00,144,0,274,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-19 23:00:00,197,-3,511,0,---,
11,Schlehdorf,Loisach,2021-07-19 23:00:00,262,-9,125,0,---,
12,Kochel,Loisach,2021-07-19 23:00:00,289,-3,163,1,---,
13,Beuerberg,Loisach,2021-07-19 23:00:00,457,0,184,1,---,
14,Partenkirchen (alt),Partnach,2021-07-19 23:00:00,111,0,245,0,---,
15,Stegen,Ammersee,2021-07-19 23:00:00,53329,0,---,0,---,
16,Stegen,Amper,2021-07-19 23:00:00,155,0,384,0,---,
17,Fürstenfeldbruck,Amper,2021-07-19 23:00:00,106,0,404,0,---,
18,Ampermoching,Amper,2021-07-19 23:00:00,229,0,548,0,---,
19,Inkofen,Amper,2021-07-19 23:00:00,127,0,625,0,---,
20,Oberammergau,Ammer,2021-07-19 23:00:00,82,-2,135,0,---,
21,Peißenberg,Ammer,2021-07-19 23:00:00,99,-2,244,0,---,
22,Weilheim,Ammer,2021-07-19 23:00:00,88,-3,278,0,---,
23,Raisting,Rott,2021-07-19 23:00:00,54,-1,116,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-19 23:00:00,62506,-1,---,0,---,
25,Leutstetten,Würm,2021-07-19 23:00:00,142,0,600,0,---,
26,Hohenkammer,Glonn,2021-07-19 23:00:00,41,0,228,0,---,
27,Berg,Sempt,2021-07-19 23:00:00,61,0,284,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-19 23:00:00,188,-3,503,0,---,
29,Starnberg,Starnberger See,2021-07-19 23:00:00,58448,0,---,0,---,
30,Eching,Windach,2021-07-19 23:00:00,105,-8,381,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-19 23:00:00,44,0,148,0,---,
0,Sylvenstein,Isar,2021-07-18 00:00:00,275,1,377,0,---,
1,Lenggries,Isar,2021-07-18 00:00:00,175,7,811,0,---,
2,Bad Tölz Brücke,Isar,2021-07-18 00:00:00,113,7,---,0,---,
3,Puppling,Isar,2021-07-18 00:00:00,186,15,102,0,---,
4,München,Isar,2021-07-18 00:00:00,168,1,150,0,---,
5,Freising,Isar,2021-07-18 00:00:00,82,0,565,0,---,
6,Landshut Birket,Isar,2021-07-18 00:00:00,163,1,254,0,---,
7,Landau,Isar,2021-07-18 00:00:00,157,1,307,0,---,
8,Plattling,Isar,2021-07-18 00:00:00,259,3,310,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-18 00:00:00,154,12,327,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-18 00:00:00,214,19,630,0,---,
11,Schlehdorf,Loisach,2021-07-18 00:00:00,186,6,710,0,---,
12,Kochel,Loisach,2021-07-18 00:00:00,208,4,117,0,---,
13,Beuerberg,Loisach,2021-07-18 00:00:00,403,3,128,0,---,
14,Partenkirchen (alt),Partnach,2021-07-18 00:00:00,102,8,207,0,---,
15,Stegen,Ammersee,2021-07-18 00:00:00,53315,1,---,0,---,
16,Stegen,Amper,2021-07-18 00:00:00,141,1,318,0,---,
17,Fürstenfeldbruck,Amper,2021-07-18 00:00:00,93,0,336,0,---,
18,Ampermoching,Amper,2021-07-18 00:00:00,218,-1,488,0,---,
19,Inkofen,Amper,2021-07-18 00:00:00,118,0,573,0,---,
20,Oberammergau,Ammer,2021-07-18 00:00:00,114,24,254,0,---,
21,Peißenberg,Ammer,2021-07-18 00:00:00,106,7,295,0,---,
22,Weilheim,Ammer,2021-07-18 00:00:00,85,4,263,0,---,
23,Raisting,Rott,2021-07-18 00:00:00,57,4,136,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-18 00:00:00,62510,2,---,0,---,
25,Leutstetten,Würm,2021-07-18 00:00:00,141,0,588,0,---,
26,Hohenkammer,Glonn,2021-07-18 00:00:00,44,2,260,0,---,
27,Berg,Sempt,2021-07-18 00:00:00,62,0,293,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-18 00:00:00,212,16,686,0,---,
29,Starnberg,Starnberger See,2021-07-18 00:00:00,58447,-1,---,0,---,
30,Eching,Windach,2021-07-18 00:00:00,87,-1,209,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-18 00:00:00,38,5,111,0,---,
0,Sylvenstein,Isar,2021-07-18 01:00:00,275,0,377,0,---,
1,Lenggries,Isar,2021-07-18 01:00:00,180,8,873,0,---,
2,Bad Tölz Brücke,Isar,2021-07-18 01:00:00,115,5,---,0,---,
3,Puppling,Isar,2021-07-18 01:00:00,191,13,109,0,---,
4,München,Isar,2021-07-18 01:00:00,170,1,154,0,---,
5,Freising,Isar,2021-07-18 01:00:00,83,1,576,0,---,
6,Landshut Birket,Isar,2021-07-18 01:00:00,163,1,254,0,---,
7,Landau,Isar,2021-07-18 01:00:00,151,-5,292,0,---,
8,Plattling,Isar,2021-07-18 01:00:00,259,1,310,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-18 01:00:00,157,9,343,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-18 01:00:00,218,8,660,0,---,
11,Schlehdorf,Loisach,2021-07-18 01:00:00,192,10,751,0,---,
12,Kochel,Loisach,2021-07-18 01:00:00,208,1,117,0,---,
13,Beuerberg,Loisach,2021-07-18 01:00:00,405,4,130,0,---,
14,Partenkirchen (alt),Partnach,2021-07-18 01:00:00,107,8,228,0,---,
15,Stegen,Ammersee,2021-07-18 01:00:00,53314,-1,---,0,---,
16,Stegen,Amper,2021-07-18 01:00:00,141,1,318,0,---,
17,Fürstenfeldbruck,Amper,2021-07-18 01:00:00,93,0,336,0,---,
18,Ampermoching,Amper,2021-07-18 01:00:00,219,0,493,0,---,
19,Inkofen,Amper,2021-07-18 01:00:00,118,0,573,0,---,
20,Oberammergau,Ammer,2021-07-18 01:00:00,119,16,275,0,---,
21,Peißenberg,Ammer,2021-07-18 01:00:00,117,18,382,0,---,
22,Weilheim,Ammer,2021-07-18 01:00:00,87,4,273,0,---,
23,Raisting,Rott,2021-07-18 01:00:00,58,2,144,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-18 01:00:00,62511,2,---,0,---,
25,Leutstetten,Würm,2021-07-18 01:00:00,141,0,588,0,---,
26,Hohenkammer,Glonn,2021-07-18 01:00:00,43,1,249,0,---,
27,Berg,Sempt,2021-07-18 01:00:00,62,0,293,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-18 01:00:00,222,19,834,0,---,
29,Starnberg,Starnberger See,2021-07-18 01:00:00,58447,0,---,0,---,
30,Eching,Windach,2021-07-18 01:00:00,87,-2,209,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-18 01:00:00,41,8,129,0,---,
0,Sylvenstein,Isar,2021-07-18 02:00:00,275,0,377,0,---,
1,Lenggries,Isar,2021-07-18 02:00:00,180,5,873,0,---,
2,Bad Tölz Brücke,Isar,2021-07-18 02:00:00,118,5,---,0,---,
3,Puppling,Isar,2021-07-18 02:00:00,196,10,115,0,---,
4,München,Isar,2021-07-18 02:00:00,175,7,162,0,---,
5,Freising,Isar,2021-07-18 02:00:00,84,2,587,0,---,
6,Landshut Birket,Isar,2021-07-18 02:00:00,163,0,254,0,---,
7,Landau,Isar,2021-07-18 02:00:00,145,-12,276,0,---,
8,Plattling,Isar,2021-07-18 02:00:00,254,-5,299,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-18 02:00:00,165,11,389,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-18 02:00:00,236,22,796,0,---,
11,Schlehdorf,Loisach,2021-07-18 02:00:00,198,12,792,0,---,
12,Kochel,Loisach,2021-07-18 02:00:00,212,4,120,0,---,
13,Beuerberg,Loisach,2021-07-18 02:00:00,407,4,132,0,---,
14,Partenkirchen (alt),Partnach,2021-07-18 02:00:00,122,20,293,0,---,
15,Stegen,Ammersee,2021-07-18 02:00:00,53315,0,---,0,---,
16,Stegen,Amper,2021-07-18 02:00:00,141,0,318,0,---,
17,Fürstenfeldbruck,Amper,2021-07-18 02:00:00,93,0,336,0,---,
18,Ampermoching,Amper,2021-07-18 02:00:00,219,1,493,0,---,
19,Inkofen,Amper,2021-07-18 02:00:00,118,0,573,0,---,
20,Oberammergau,Ammer,2021-07-18 02:00:00,124,10,297,0,---,
21,Peißenberg,Ammer,2021-07-18 02:00:00,117,11,382,0,---,
22,Weilheim,Ammer,2021-07-18 02:00:00,96,11,322,0,---,
23,Raisting,Rott,2021-07-18 02:00:00,58,1,144,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-18 02:00:00,62511,1,---,0,---,
25,Leutstetten,Würm,2021-07-18 02:00:00,141,0,588,0,---,
26,Hohenkammer,Glonn,2021-07-18 02:00:00,44,0,260,0,---,
27,Berg,Sempt,2021-07-18 02:00:00,62,0,293,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-18 02:00:00,232,20,945,0,---,
29,Starnberg,Starnberger See,2021-07-18 02:00:00,58447,0,---,0,---,
30,Eching,Windach,2021-07-18 02:00:00,86,-1,199,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-18 02:00:00,42,4,135,0,---,
0,Sylvenstein,Isar,2021-07-18 03:00:00,275,0,377,0,---,
1,Lenggries,Isar,2021-07-18 03:00:00,179,-1,861,0,---,
2,Bad Tölz Brücke,Isar,2021-07-18 03:00:00,119,4,---,0,---,
3,Puppling,Isar,2021-07-18 03:00:00,198,7,118,0,---,
4,München,Isar,2021-07-18 03:00:00,180,10,171,0,---,
5,Freising,Isar,2021-07-18 03:00:00,85,2,598,0,---,
6,Landshut Birket,Isar,2021-07-18 03:00:00,162,-1,251,0,---,
7,Landau,Isar,2021-07-18 03:00:00,141,-10,265,0,---,
8,Plattling,Isar,2021-07-18 03:00:00,247,-12,283,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-18 03:00:00,177,20,461,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-18 03:00:00,253,35,933,1,---,
11,Schlehdorf,Loisach,2021-07-18 03:00:00,200,8,806,0,---,
12,Kochel,Loisach,2021-07-18 03:00:00,218,10,123,0,---,
13,Beuerberg,Loisach,2021-07-18 03:00:00,409,4,134,0,---,
14,Partenkirchen (alt),Partnach,2021-07-18 03:00:00,143,36,383,0,---,
15,Stegen,Ammersee,2021-07-18 03:00:00,53316,2,---,0,---,
16,Stegen,Amper,2021-07-18 03:00:00,141,0,318,0,---,
17,Fürstenfeldbruck,Amper,2021-07-18 03:00:00,93,0,336,0,---,
